timestamp,symbol,ob_signal,ob_confidence,bid_ask_ratio,spread_pct,bid_wall_conc,ask_wall_conc,indicator_filter_passed,filter_reason,rsi,ema_fast,ema_slow,atr,volume_ratio
2026-05-31 21:14:38 UTC,BTCUSDT,LONG,HIGH,6.0166,0.01547,0.7016,0.3726,True,"EMA uptrend, RSI=53.2",53.25,73630.139606,73627.042057,60.545086,0.15
2026-05-31 21:14:39 UTC,ETHUSDT,SHORT,HIGH,0.252,0.0005,0.3127,0.5712,True,"EMA downtrend, RSI=52.6",52.6,2002.6282,2003.706707,3.239739,0.79
2026-05-31 21:14:39 UTC,SOLUSDT,SHORT,HIGH,0.76,0.01222,0.6329,0.8257,True,"EMA downtrend, RSI=50.5",50.55,81.754225,81.796933,0.160811,0.89
2026-05-31 21:14:39 UTC,BNBUSDT,LONG,HIGH,2.373,0.03392,0.6204,0.5279,False,EMA trend DOWN (fast=710.0160 < slow=712.3815),35.29,710.016013,712.381513,2.209671,1.06
2026-05-31 21:14:40 UTC,XRPUSDT,SHORT,HIGH,0.5637,0.03763,0.4121,0.5806,True,"EMA downtrend, RSI=48.7",48.67,1.328034,1.328741,0.002516,0.54
2026-05-31 21:14:41 UTC,BTCUSDT,LONG,HIGH,6.3844,0.01547,0.7188,0.3726,True,"EMA uptrend, RSI=53.2",53.25,73630.139606,73627.042057,60.545086,0.15
2026-05-31 21:14:41 UTC,BNBUSDT,LONG,HIGH,2.373,0.03392,0.6204,0.5279,False,EMA trend DOWN (fast=710.0160 < slow=712.3815),35.29,710.016013,712.381513,2.209671,1.06
2026-05-31 21:14:42 UTC,XRPUSDT,SHORT,HIGH,0.7239,0.04515,0.475,0.5806,True,"EMA downtrend, RSI=48.4",48.44,1.328014,1.328731,0.002529,0.54
2026-05-31 21:14:42 UTC,BTCUSDT,LONG,HIGH,6.3402,0.01534,0.7161,0.3709,True,"EMA uptrend, RSI=53.2",53.25,73630.139606,73627.042057,60.545086,0.15
2026-05-31 21:14:43 UTC,BNBUSDT,LONG,HIGH,2.373,0.03392,0.6204,0.5279,False,EMA trend DOWN (fast=710.0160 < slow=712.3815),35.29,710.016013,712.381513,2.209671,1.06
2026-05-31 21:14:43 UTC,XRPUSDT,SHORT,HIGH,0.7417,0.00753,0.4586,0.5795,True,"EMA downtrend, RSI=48.4",48.44,1.328014,1.328731,0.002529,0.54
2026-05-31 21:14:44 UTC,BNBUSDT,LONG,HIGH,2.373,0.03392,0.6204,0.5279,False,EMA trend DOWN (fast=710.0160 < slow=712.3815),35.29,710.016013,712.381513,2.209671,1.06
2026-05-31 21:14:46 UTC,BNBUSDT,LONG,HIGH,2.373,0.03392,0.6204,0.5279,False,EMA trend DOWN (fast=710.0160 < slow=712.3815),35.29,710.016013,712.381513,2.209671,1.06
2026-06-01 01:15:31 UTC,BTCUSDT,LONG,HIGH,2.998,0.00204,0.8026,0.2775,False,EMA trend DOWN (fast=73736.2268 < slow=73736.6286),42.25,73736.226775,73736.628577,147.171708,0.15
2026-06-01 01:15:31 UTC,ETHUSDT,SHORT,HIGH,0.6036,0.01796,0.4641,0.3725,False,EMA trend UP (fast=2009.1904 > slow=2008.4870),44.98,2009.190352,2008.487012,5.260372,0.06
2026-06-01 01:15:31 UTC,SOLUSDT,NEUTRAL,LOW,0.8905,0.02429,0.3413,0.8121,True,Balanced book,,,,,
2026-06-01 01:15:32 UTC,BNBUSDT,LONG,HIGH,1.5377,0.0254,0.3994,0.5804,False,EMA trend DOWN (fast=710.4816 < slow=711.0698),43.35,710.48159,711.069791,2.392265,0.0
2026-06-01 01:15:32 UTC,XRPUSDT,SHORT,HIGH,0.702,0.03006,0.6468,0.4733,False,EMA trend UP (fast=1.3335 > slow=1.3328),45.98,1.333476,1.332843,0.003905,0.03
2026-06-01 01:15:32 UTC,BTCUSDT,LONG,HIGH,3.0399,0.00218,0.8026,0.2814,False,EMA trend DOWN (fast=73736.2268 < slow=73736.6286),42.25,73736.226775,73736.628577,147.171708,0.15
2026-06-01 01:15:33 UTC,ETHUSDT,SHORT,HIGH,0.6036,0.01796,0.4641,0.3725,False,EMA trend UP (fast=2009.1904 > slow=2008.4870),44.98,2009.190352,2008.487012,5.260372,0.06
2026-06-01 01:15:33 UTC,SOLUSDT,NEUTRAL,LOW,0.9488,0.02429,0.3526,0.8734,True,Balanced book,,,,,
2026-06-01 01:15:34 UTC,BNBUSDT,LONG,HIGH,1.5377,0.0254,0.3994,0.5804,False,EMA trend DOWN (fast=710.4816 < slow=711.0698),43.35,710.48159,711.069791,2.392265,0.0
2026-06-01 01:15:34 UTC,XRPUSDT,SHORT,HIGH,0.702,0.03006,0.6468,0.4733,False,EMA trend UP (fast=1.3335 > slow=1.3328),45.98,1.333476,1.332843,0.003905,0.03
2026-06-01 01:15:34 UTC,BTCUSDT,LONG,HIGH,1.8238,0.00816,0.8026,0.6821,False,EMA trend DOWN (fast=73736.3868 < slow=73736.7013),42.28,73736.386775,73736.701304,147.185042,0.17
2026-06-01 01:15:35 UTC,ETHUSDT,SHORT,HIGH,0.6755,0.01796,0.4641,0.3538,False,EMA trend UP (fast=2009.1904 > slow=2008.4870),44.98,2009.190352,2008.487012,5.260372,0.06
2026-06-01 01:15:35 UTC,SOLUSDT,NEUTRAL,LOW,0.8716,0.03644,0.3683,0.8378,True,Balanced book,,,,,
2026-06-01 01:15:36 UTC,BNBUSDT,LONG,HIGH,1.5053,0.0254,0.408,0.5804,False,EMA trend DOWN (fast=710.4816 < slow=711.0698),43.35,710.48159,711.069791,2.392265,0.0
2026-06-01 01:15:36 UTC,XRPUSDT,SHORT,HIGH,0.6306,0.02254,0.7201,0.4733,False,EMA trend UP (fast=1.3335 > slow=1.3329),46.5,1.333536,1.33287,0.003905,0.03
2026-06-01 01:15:37 UTC,BTCUSDT,LONG,HIGH,1.7423,0.0068,0.9208,0.7477,False,EMA trend DOWN (fast=73736.3868 < slow=73736.7013),42.28,73736.386775,73736.701304,147.185042,0.17
2026-06-01 01:15:37 UTC,ETHUSDT,SHORT,HIGH,0.6481,0.01846,0.4641,0.3394,False,EMA trend UP (fast=2009.2464 > slow=2008.5125),45.35,2009.246352,2008.512467,5.281705,0.06
2026-06-01 01:15:37 UTC,SOLUSDT,NEUTRAL,LOW,0.91,0.03644,0.3683,0.8747,True,Balanced book,,,,,
2026-06-01 01:15:38 UTC,BNBUSDT,NEUTRAL,LOW,1.0172,0.00141,0.4534,0.4504,True,Balanced book,,,,,
2026-06-01 01:15:38 UTC,XRPUSDT,SHORT,HIGH,0.7022,0.03006,0.6466,0.4733,False,EMA trend UP (fast=1.3335 > slow=1.3329),46.5,1.333536,1.33287,0.003905,0.03
2026-06-01 01:15:39 UTC,BTCUSDT,LONG,HIGH,1.8098,0.00707,0.9208,0.6777,False,EMA trend DOWN (fast=73736.3868 < slow=73736.7013),42.28,73736.386775,73736.701304,147.185042,0.17
2026-06-01 01:15:39 UTC,ETHUSDT,SHORT,MODERATE,0.6779,0.02594,0.4641,0.3475,False,EMA trend UP (fast=2009.2464 > slow=2008.5125),45.35,2009.246352,2008.512467,5.281705,0.06
2026-06-01 01:15:39 UTC,SOLUSDT,NEUTRAL,LOW,0.9376,0.01214,0.4041,0.9188,True,Balanced book,,,,,
2026-06-01 01:15:40 UTC,BNBUSDT,LONG,HIGH,1.2708,0.00282,0.393,0.5014,False,EMA trend DOWN (fast=710.4816 < slow=711.0698),43.35,710.48159,711.069791,2.392265,0.0
2026-06-01 01:15:41 UTC,XRPUSDT,SHORT,HIGH,0.7022,0.03006,0.6466,0.4733,False,EMA trend UP (fast=1.3335 > slow=1.3329),46.5,1.333536,1.33287,0.003905,0.03
2026-06-01 01:15:41 UTC,BTCUSDT,NEUTRAL,LOW,0.9733,0.0072,0.9208,0.8355,True,Balanced book,,,,,
2026-06-01 01:15:41 UTC,ETHUSDT,SHORT,HIGH,0.7596,0.02943,0.4642,0.3739,False,EMA trend UP (fast=2009.2764 > slow=2008.5261),45.56,2009.276352,2008.526103,5.301705,0.06
2026-06-01 01:15:42 UTC,SOLUSDT,NEUTRAL,LOW,0.9495,0.01214,0.4042,0.9178,True,Balanced book,,,,,
2026-06-01 01:15:42 UTC,BNBUSDT,NEUTRAL,LOW,1.185,0.00282,0.393,0.4676,True,Balanced book,,,,,
